remove 	 Pancoast 	 Parents 	 Sign
comment 	 Invasive TCC 	 change name
comment 	 Peripheral vascular disease 	 diabetes causes atherosclerosis. so perhaps it should not cause this directly
comment 	 Myocardial infarction 	 maybe remove all these causes and just have Atherosclerosis
comment 	 Referred pain 	 This item needs restructuring. Some of the subtypes should be causes. e.g. Myocardial infarction is not a type of referred pain.
comment 	 Chest pain 	 the Causes here need to be moved to be causes of the Subtypes
comment 	 Extrabdominal Causes 	 What on earth is this? an entity called "extraabdominal causes"?
comment 	 Porphyria 	 Are all these effects of Porphyria? or just Acute Intermittent Porphyria?
comment 	 Porphyria 	 The list of drugs in the description needs to be moved to causes of AIP attacks
comment 	 Nerve root lesion 	 does not cause peripheral neuropathy
comment 	 Cervical spondylosis 	 Does not cause peripheral neuropathy - rather causes radiculopathy
comment 	 Nerve root lesion 	 causes of radiculopathy need to be added
comment 	 Gastroenteritis 	 maybe change name to Infective gastroenteritis - since all causes seem to be infectious
comment 	 fecal contamination of food 	 Need to add more effects
comment 	 Sarcoidosis 	 ventricular tachycardia should be removed and replaced with whatever mechanism causes arrhythmia
comment 	 Iridocyclitis 	 needs synonyms
comment 	 Manoeuvre 	 This is nice! should be a type of treatment or procedure?
comment 	 Upper limb deformity 	 not all of these are congenital. maybe Orthopaedic malformation should not be a type of congenital malformation
comment 	 Anticoagulant drug 	 the warfarin-influencing drugs should not be subtypes of this
comment 	 Adrenaline 	 maybe add other Treats items such as anaphylaxis and cardiac arrest
comment 	 Disorders due to neurological pathology 	 Maybe change name and add synonyms - as it is unclear what this name means
comment 	 Disorders due to psychoactive substance use 	 Name of this item is incorrect. What is it actually?
comment 	 Impulse control disorders 	 Should be singular - disorder
comment 	 Neurotic disorders 	 should be single
comment 	 Childhood disorders 	 singular - disorder
comment 	 Organic Mental disorders 	 single - disorder
comment 	 Oral ulcer 	 re-order causes
comment 	 Hoarse voice 	 maybe some of these can be moved up into the parent dysphonia
comment 	 Romberg sign 	 add synonym for the common mis-spelling rhomberg
comment 	 Mis-aligned bones 	 I have not heard of this, maybe some synonyms would help.
comment 	 Alkaptonuria 	 synonym black bone syndrome, black bone disease
comment 	 Preauricular sinus 	 add synonym
comment 	 Pseudorhagades 	 synonym would be helpful
comment 	 Darrier 	 Should be darier disease -already exists, please merge
comment 	 Cyanotic congenital heart disease 	 the parent Thoracic Malformation should be moved up to be parent of Congenital Heart Disease instead
comment 	 Blind loop syndrome 	 description: Bowe = Bowel. Also put the description as synonyms.
comment 	 Blind loop syndrome 	 Should not be a Disease
comment 	 Greasy yellow papules 	 needs parents. where are the papules?
comment 	 Pachydermoperiostosis 	 tho of the parents are also effects. should be removed from parents
comment 	 Riedel thyroiditis 	 does this cause hypo or hyperthyroidism?
comment 	 Koebner phenomenon 	 description as synonym
comment 	 Eye discharge 	 needs a parent
comment 	 Autoimmune skin disease 	 Should not have Immunological Urticaria as a Parent
comment 	 nausea 	 this should be under Nausea and vomiting
comment 	 Hot flashes 	 please remove and put as Hot flush - and add synonym
comment 	 High urinary Potassium 	 are there other causes?
comment 	 Liddle syndrome 	 Perhaps this should cause Renal fluid retention, rather than hypertension
comment 	 Drug irritating bowel 	 either change name to Bowel irritation by drug, or move drugs to subtypes and add drug as supertype
comment 	 Substance induced disorders 	 this item looks like it should be removed
comment 	 Disorders due to psychoactive substance use 	 what are the disorders caused by substance use?
comment 	 Hand trauma 	 i don't think nerve injury belongs in the causes
comment 	 Hand trauma 	 does tendon injury and fracture cause hand trauma?
comment 	 Laceration 	 I don't think laceration causes hand trauma
comment 	 hand trauma 	 there may be a problem in the database- amputation does not cause hand trauma
comment 	 Trauma 	 I don't think trauma is a type of haemorrhage
comment 	 Crush Injury  	 incomplete eg compartment syndrome 
comment 	 Tissue injury  	 caused by crush injury
comment 	 Thermal injury  	 Is this different from Thermal burn, and Burn - which are all separate items!
comment 	 Burn  	 thermal burn as a cause or subtype, or maybe even merge the two
comment 	 Penetrating injury  	 this item could have more links
comment 	 Penetrating injury  	 needs synonyms
comment 	 Laser injury  	 caused by cataract surgery maybe
comment 	 Recurrent laryngeal nerve injury  	 maybe cause of Recurrent laryngeal nerve palsy (a separate entity)
comment 	 Soft tissue injury  	 is this related to (or the same as) Tissue injury 
comment 	 Urethral injury  	 must have effects like haematuria, outflow obstruction, stricture
comment 	 Occupational injury 	 shuold be specifically hand injury
comment 	 Chest pain 	 move MI/dissection/PE/zoster/Panic out from subtypes!
comment 	 Hepatitis virus 	 Remove liver disease from parent
comment 	 Anaemia of chronic disease 	 Causes: remove breast, hodgkin etc, add malignancy
comment 	 Heart disease 	 I don't think polygenic inheritance belongs as a cause here
comment 	 Sickle cell trait 	 This is not polygenic
comment 	 Cerebrovascular accident 	 delete polygenic inheritance as cause.
comment 	 Cerebrovascular accident 	 remove ASD from causes
comment 	 Toxic Psychosis 	 maybe add Organic mental disorder as a cause
comment 	 Systemic lupus erythematosus 	 70% (not 6%) have anti- dsDNA
comment 	 serositis 	 should include pericarditis and peritonitis as "effect", SLE, rheumatoid and uraemia should be "causes" 
comment 	 Viral hepatitis 	 causes should include dengue, ebola, Marburg, CMV, and maybe yellow fever
comment 	 Acute hepatitis 	 causes should include Hep E, ischaemic hepatitis
comment 	 Leishmania donovani 	 cause should be sandfly bite
comment 	 Kala-azar 	 effects should include infective hepatitis
comment 	 Falciparum malaria 	 effects should include hepatomegaly and infective hepatitis
comment 	 Katayama fever 	 effects: fever, arthralgia, lymphadenopathy, hepatomegaly, splenomegaly
comment 	 bilharzia 	 effects should include pulmonary htn and cirrhosis
comment 	 bladder fibrosis 	 effects should include ureteric obstruction and bladder SCC
comment 	 aflatoxin 	 causes should include aflatoxin
comment 	 Macrocytosis 	 causes should include myelodysplastic syn
comment 	 Chronic liver disease 	 effects should include hyponatraemia
comment 	 Microcytic anaemia 	 causes should include anaemia of chronic disease and lead poisoning
comment 	 Iron deficiency anaemia 	 causes could include the hookworm ancylostoma duodenale
comment 	 Malabsorption state 	 causes: gastrectomy
comment 	 Deep vein thrombosis 	 sgm consolidate causes
comment 	 scleroderma 	 No entry for scleroderma renal crisis? (effect of scleroderma)
comment 	 Systemic sclerosis 	 the modern sub-classification of this is limited cutaneous systemic sclerosis (lcSSc, synonym CREST) and diffuse (dcSSc synonym scleroderma) - can voo re-arrange this?
comment 	 Systemic lupus erythematosus 	 effects should include aortic regurg, mononeuritis multiplex, ?psychiatric disturbances (mood, psychosis). Are lupus seizures accounted for by cerebral vasculitis? 
comment 	 Scleroderma 	 effects should include gastric antral vascular ectasia (GAVE) syndrome aka "watermelon stomach"
comment 	 Tarius 	 what is this? ngee has never heard of it! google says it is "a good all-round sleeping bag".
comment 	 Rhabdomyolysis 	 causes: hypothermia, DKA, sympathomimetics (cocaine, amphetamines, MDMA); effects: compartment syndrome, DIC
comment 	 Laughter 	 50% young onsset ALS get it. Also Angelman Syndrome, Tuber cinereum damage, and Atypical antipsychotics. Rx L-DOPA
comment 	 Unilateral papilloedema 	 looks good!
comment 	 Horder's spots 	 Is a face sign
comment 	 Pox virus 	 Remove effect orf
comment 	 Human papilloma virus 	 Foes not cause fever
comment 	 Pancoast syndrome 	 Causes laryngeal nerve invasion not palsy in 
comment 	 atheletic heart 	 More info
comment 	 Alzheimer dementia 	 Fix effect 
comment 	 Disseminated cancer 	 Two causes
comment 	 Ischaemic heart disease 	 rename as cardiac ischaemia or cardiac perfusion abnormalities
comment 	 Coronary heart disease 	 synonym ischaemic heart disease
comment 	 atherosclerosis 	 causes cerebrovascular disease
comment 	 Metastasis 	 Orbital mass not direct
comment 	 Metastasis 	 Description spaces
comment 	 Elevated VEGF 	 Cerebral pathology is not a cause 
comment 	 hyperprolactinaemia 	 causes osteoporosis
comment 	 mastocytosis 	 causes osteoporosis
comment 	 phenytoin 	 causes osteoporosis (as well as osteomalacia)
comment 	 Carbamazepine 	 also causes osteoporosis!
comment 	 Clozapine 	 causes hyperprolactinaemia (same for risperidone, amisulpride and olanzapine)
comment 	 lithium 	 appears to cause hyperparathyroidism and consequent hypercalcaemia (fairly new data)
comment 	 Proton pump inhibitor 	 can cause hypocalcaemia (malabsorption) and hypomagnesaemia
comment 	 Ropinirole 	 causes hallucinations, orthostatic hypotension, impulse control disorder (plus other things probably - you know more!)
comment 	 Graves disease facies 	 should this just be Graves disease?
comment 	 Idiopathic Parkinson disease 	 shouldn't have Neonatal mortality as an effect!
comment 	 Pulmonary embolus 	 Air embolism? 
2018-02-20 08:35:34	192.76.8.64	comment 	 Lithium 	 hello
2018-02-22 05:31:15	192.76.8.91	comment 	 Duroziez sign 	 duplicate of murmur
2018-02-22 11:19:52	78.86.177.63	comment 	 Dacryocystitis 	 Make description synonyn
2018-02-24 09:23:07	2.217.6.184	comment 	 Undercooked meat 	 not a type of food poisoning 
2018-02-24 09:35:39	2.217.6.184	comment 	 Childhood infections 	 Should be subclasses
2018-02-24 09:36:14	2.217.6.184	comment 	 Childhood malignancy 	 Should be subclasses? 
2018-02-24 09:39:16	2.217.6.184	comment 	 Childhood malnutriton 	 Failure to thrive
2018-03-13 06:12:46	163.1.197.148	comment 	 Mutism 	 add aphasia as cause
2018-03-13 06:15:06	163.1.197.148	comment 	 Paresis 	 move causes to subtypes
2018-03-13 06:23:10	78.86.24.194	comment 	 Cyclical Pain 	 Rename
2018-03-13 06:24:26	78.86.24.194	comment 	 Fibrocystic disease 	 Effects more specific 
2018-03-13 06:33:21	78.86.24.194	comment 	 General anaesthetic 	 Causes vasodilation not shock 
2018-03-13 06:33:46	78.86.24.194	comment 	 Procedure 	 Description wrong 
2018-03-13 06:34:19	78.86.24.194	comment 	 Intravesical BCG 	 Treats? Full name
2018-03-13 06:36:33	78.86.24.194	comment 	 Chronic obstructive pulmonary disease 	 Mood disturbance is effect?
2018-04-19 13:39:34	163.1.202.168	comment 	 Mitral regurgitation 	 LV end-diastolic dimension 
2018-04-19 13:41:11	163.1.202.168	comment 	 Mitral regurgitation 	 45mm is normal
2018-05-03 06:28:37	163.1.197.148	comment 	 Radioiodine therapy 	 shouldnt inherit all other radiotherapy treats
2018-05-03 06:34:33	163.1.197.148	comment 	 Dysphonia 	 should not inherit from focal cerebral neurological sign
2018-05-03 06:42:31	163.1.197.148	comment 	 Conjugate gaze palsy 	 sama as conjugate gaze paresis
2018-05-18 03:50:03	192.76.8.73	comment 	 Congenital collagen disease 	 causes csf leaks and SIH
2018-05-18 03:50:34	192.76.8.73	comment 	 Congenital collagen disease 	 not congenital!
2018-05-28 12:32:33	129.67.116.146	comment 	 Cafe au lait patch 	 need to add generalised hyperpigmentation
2018-06-29 04:15:50	192.76.8.82	comment 	 Lennox-Gastaut syndrome 	 Hypsarrhythmia
2018-06-29 04:24:17	192.76.8.82	comment 	 Dravet syndrome 	 Ataxia sleep disturbance cognitive impairment 
2018-06-29 04:25:34	192.76.8.82	comment 	 SCN1A mutation 	 Na V1. 1_ assoc benign neonatal epilepsy
2018-06-29 04:26:07	192.76.8.82	comment 	 SCN1A mutation 	 Scn2 ohtahara West syndrome
2018-06-29 04:32:25	78.86.27.198	comment 	 Status epilepticus 	 Epileptic encephalopathy 
2018-07-09 11:02:01	192.76.8.92	comment 	 Necrotic skin lesion 	 Add pyoderma
2018-07-13 09:35:03	192.76.8.72	comment 	 Alternating hemiplegia of childhood 	 add effects
2018-07-13 09:48:23	192.76.8.72	comment 	 Spinal muscular atrophy 	 add spinobulbar musular atrophy
2018-08-22 06:03:54	192.76.8.77	comment 	 Disease 	 Add wartenberg syndrome
2018-10-13 19:08:19	88.105.21.66	comment 	 Childhood heart disease 	 move causes to subtypes
2019-01-10 10:36:32	78.86.150.36	comment 	 Chilblains 	 Does not cause constitutional symptoms 
2019-04-08 08:15:09	163.1.202.153	comment 	 White hair 	 add synonym poliosis
2019-05-01 01:11:28	213.106.240.194	comment 	 Cranial nerve sign 	 add cacosmia ampicillin_ tetracycline_ bleomycin_ amphotericin_ metronidazole_ carbamazepine_ phenytoin_ chlorpheniramine_ do
2019-05-01 01:14:54	213.106.240.194	comment 	 Cranial nerve sign 	 add parosmia causes upper respiratory tract infection
2019-05-01 01:15:11	213.106.240.194	comment 	 Cranial nerve sign 	 add phantosmia causes head injury
2019-05-01 01:16:06	213.106.240.194	comment 	 Cranial nerve sign 	 add phantosmia causes aura
2019-05-03 05:33:56	213.106.240.194	comment 	 Gait apraxia 	 add synonym brun apraxia
2019-07-05 03:25:52	192.76.8.84	comment 	 MEN I 	 Add phaeo_ ependymoma
2019-09-20 02:52:09	192.76.8.68	comment 	 Pyridoxine 	 treats pyridoxine deficiency 
2019-09-20 02:58:35	192.76.8.68	comment 	 Lesch Nyhan syndrome 	 incontinentia pigmenti
2019-09-22 04:15:29	92.2.73.253	add 	 Amelanosis 	 Synonyms 	 Hypomelanosis
2019-09-22 06:16:42	92.2.73.253	add 	 Amelanosis 	 Synonyms 	 Hypomelanosis
2019-09-22 06:33:02	92.2.73.253	add 	 Amelanosis 	 Synonyms 	 Hypomelanosis
2019-09-22 07:12:33	92.2.73.253	add 	 Amelanosis 	 Synonyms 	 Hypomelanosis
2019-09-22 07:50:56	92.2.73.253	add 	 Hypopigmented skin 	 Causes 	 Hypomelanosis of Ito
2019-09-22 08:09:09	92.2.73.253	add 	 Loss of pinprick sensation 	 Causes 	 Loss of pinprick sensation
2019-09-22 08:16:33	92.2.73.253	add 	 Loss of pinprick sensation 	 Causes 	 Loss of pinprick sensation
2019-09-22 08:17:27	92.2.73.253	add 	 Atrophic skin 	 Causes 	 Loss of pinprick sensation
2019-11-11 07:55:55	192.76.8.86	comment 	 Extinction 	 not vitamin e loss
2019-11-11 08:31:05	192.76.8.86	add 	 Extinction 	 Synonyms 	 Amorphosynthesis
2019-11-12 14:07:24	176.27.183.84	add 	 Vitamin E deficiency 	 Effects 	 Cerebellar ataxia
2020-01-05 15:14:14	92.2.73.253	edit 	 Dissociated sensory loss 	 Description
2020-01-05 15:23:16	92.2.73.253	edit 	 Dissociated sensory loss 	 Description
2020-01-05 16:17:31	92.2.73.253	edit 	 Dissociated sensory loss 	 Description
2020-01-05 16:17:47	92.2.73.253	edit 	 Dissociated sensory loss 	 Description
2020-01-05 16:19:12	92.2.73.253	edit 	 Dissociated sensory loss 	 Description
2020-01-05 16:19:13	92.2.73.253	edit 	 Dissociated sensory loss 	 Description
2020-01-05 16:38:05	92.2.73.253	edit 	 Dissociated sensory loss 	 Description
2020-01-05 16:38:14	92.2.73.253	edit 	 Dissociated sensory loss 	 Description
2020-01-05 16:38:14	92.2.73.253	edit 	 Dissociated sensory loss 	 Description
2020-01-05 16:38:36	92.2.73.253	edit 	 Dissociated sensory loss 	 Description
2020-01-05 16:38:36	92.2.73.253	edit 	 Dissociated sensory loss 	 Description
2020-01-05 16:38:36	92.2.73.253	edit 	 Dissociated sensory loss 	 Description
